"ticker","company","gics_sector","source_index","index_tag","decision","reason"
"GOOG","Alphabet Inc. (Class C)","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"GOOGL","Alphabet Inc. (Class A)","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"HON","Honeywell Technologies","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"IDXX","Idexx Laboratories","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"INTC","Intel","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"INTU","Intuit","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ISRG","Intuitive Surgical","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"KDP","Keurig Dr Pepper","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"KHC","Kraft Heinz","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"KLAC","KLA Corporation","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"LIN","Linde plc","Basic Materials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"LITE","Lumentum","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"LRCX","Lam Research","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"MAR","Marriott International","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MCHP","Microchip Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"MDLZ","Mondelez International","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MELI","Mercado Libre","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"META","Meta Platforms","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MNST","Monster Beverage","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MPWR","Monolithic Power Systems","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"MRVL","Marvell Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"MSFT","Microsoft","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MSTR","MicroStrategy","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"MTSI","MACOM Technology Solutions Holdings, Inc.","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"MU","Micron Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"NBIS","Nebius Group","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"NFLX","Netflix, Inc.","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"NVDA","Nvidia","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"NXPI","NXP Semiconductors","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"ODFL","Old Dominion Freight Line","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ON","ON Semiconductor Corporation","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"ORLY","O'Reilly Automotive","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PANW","Palo Alto Networks","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PAYX","Paychex","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PCAR","Paccar","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PDD","PDD Holdings","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PEP","PepsiCo","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PLTR","Palantir Technologies","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"PYPL","PayPal","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"QCOM","Qualcomm","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"REGN","Regeneron Pharmaceuticals","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"RKLB","Rocket Lab","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ROP","Roper Technologies","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ROST","Ross Stores","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"SBUX","Starbucks","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"SHOP","Shopify","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"SNDK","Sandisk","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"SNPS","Synopsys","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"STX","Seagate Technology","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"TER","Teradyne","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"TMUS","T-Mobile US","Telecommunications","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"TRI","Thomson Reuters","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"TSLA","Tesla, Inc.","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"TSM","Taiwan Semiconductor Manufacturing Company Limited","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"TTWO","Take-Two Interactive","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"TXN","Texas Instruments","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"UMC","United Microelectronics Corporation","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"VRTX","Vertex Pharmaceuticals","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"WBD","Warner Bros. Discovery","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"WDAY","Workday, Inc.","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"WDC","Western Digital","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"WMT","Walmart","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"XEL","Xcel Energy","Utilities","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
