ticker,company,source_index,index_tag,is_main_nasdaq100,is_sox_robustness,cik,sec_title,companyfacts_status,companyfacts_error,entity_name,taxonomy_namespaces,assets_any,equity_any,shares_any,document_focus_any,assets_primary,equity_primary,shares_primary,document_focus_tags
AMD,Advanced Micro Devices,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000002488,ADVANCED MICRO DEVICES INC,200,,ADVANCED MICRO DEVICES INC,dei;ffd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
AMGN,Amgen,NASDAQ-100,ndx_only,True,False,0000318154,AMGEN INC,200,,Amgen Inc.,dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
AMZN,Amazon,NASDAQ-100,ndx_only,True,False,0001018724,AMAZON COM INC,200,,AMAZON COM INC,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
APP,AppLovin,NASDAQ-100,ndx_only,True,False,0001751008,AppLovin Corp,200,,AppLovin Corp,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
ARM,Arm Holdings,NASDAQ-100,ndx_only,True,False,0001973239,ARM HOLDINGS PLC /UK,200,,ARM HOLDINGS PLC /UK,dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ASML,ASML Holding,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000937966,ASML HOLDING NV,200,,ASML HOLDING NV,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ASX,"ASE Technology Holding Co., Ltd.",SOX (via SOXX ETF holdings),sox_only,False,True,0001122411,"ASE Technology Holding Co., Ltd.",200,,"ASE Technology Holding Co., Ltd.",dei;ifrs-full,True,True,True,False,ifrs-full:Assets,ifrs-full:Equity,dei:EntityCommonStockSharesOutstanding,
AVGO,Broadcom,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001730168,Broadcom Inc.,200,,Broadcom Inc.,dei;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
AXON,Axon Enterprise,NASDAQ-100,ndx_only,True,False,0001069183,"AXON ENTERPRISE, INC.",200,,"Axon Enterprise, Inc.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
BKNG,Booking Holdings,NASDAQ-100,ndx_only,True,False,0001075531,Booking Holdings Inc.,200,,Booking Holdings Inc.,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
BKR,Baker Hughes,NASDAQ-100,ndx_only,True,False,0001701605,Baker Hughes Co,200,,Baker Hughes Co,dei;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CCEP,Coca-Cola Europacific Partners,NASDAQ-100,ndx_only,True,False,0001650107,COCA-COLA EUROPACIFIC PARTNERS plc,200,,COCA-COLA EUROPACIFIC PARTNERS PLC,dei;ifrs-full,True,True,True,False,ifrs-full:Assets,ifrs-full:Equity,dei:EntityCommonStockSharesOutstanding,
CDNS,Cadence Design Systems,NASDAQ-100,ndx_only,True,False,0000813672,CADENCE DESIGN SYSTEMS INC,200,,"CADENCE DESIGN SYSTEMS, INC.",dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CEG,Constellation Energy,NASDAQ-100,ndx_only,True,False,0001868275,Constellation Energy Corp,200,,CONSTELLATION ENERGY CORPORATION,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CMCSA,Comcast,NASDAQ-100,ndx_only,True,False,0001166691,COMCAST CORP,200,,Comcast Corporation,dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
COST,Costco,NASDAQ-100,ndx_only,True,False,0000909832,COSTCO WHOLESALE CORP /NEW,200,,COSTCO WHOLESALE CORP /NEW,dei;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CPRT,Copart,NASDAQ-100,ndx_only,True,False,0000900075,COPART INC,200,,"COPART, INC.",dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CRDO,Credo Technology Group Holding Ltd,SOX (via SOXX ETF holdings),sox_only,False,True,0001807794,Credo Technology Group Holding Ltd,200,,CREDO TECHNOLOGY GROUP HOLDING LTD,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CRWD,CrowdStrike,NASDAQ-100,ndx_only,True,False,0001535527,"CrowdStrike Holdings, Inc.",200,,"CROWDSTRIKE HOLDINGS, INC.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CRWV,CoreWeave,NASDAQ-100,ndx_only,True,False,0001769628,"CoreWeave, Inc.",200,,"CoreWeave, Inc.",dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,
CSCO,Cisco,NASDAQ-100,ndx_only,True,False,0000858877,"CISCO SYSTEMS, INC.",200,,"CISCO SYSTEMS, INC.",dei;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CSX,CSX Corporation,NASDAQ-100,ndx_only,True,False,0000277948,CSX CORP,200,,CSX CORPORATION,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
CTAS,Cintas,NASDAQ-100,ndx_only,True,False,0000723254,CINTAS CORP,200,,Cintas Corporation,dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
DASH,DoorDash,NASDAQ-100,ndx_only,True,False,0001792789,"DoorDash, Inc.",200,,"DOORDASH, INC.",dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,
DDOG,Datadog,NASDAQ-100,ndx_only,True,False,0001561550,"Datadog, Inc.",200,,"Datadog, Inc.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
DXCM,DexCom,NASDAQ-100,ndx_only,True,False,0001093557,DEXCOM INC,200,,"DEXCOM, INC.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
EA,Electronic Arts,NASDAQ-100,ndx_only,True,False,0000712515,ELECTRONIC ARTS INC.,200,,ELECTRONIC ARTS INC.,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ENTG,"Entegris, Inc.",SOX (via SOXX ETF holdings),sox_only,False,True,0001101302,ENTEGRIS INC,200,,"Entegris, Inc.",dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
EXC,Exelon,NASDAQ-100,ndx_only,True,False,0001109357,EXELON CORP,200,,EXELON CORPORATION,dei;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
FANG,Diamondback Energy,NASDAQ-100,ndx_only,True,False,0001539838,"Diamondback Energy, Inc.",200,,"Diamondback Energy, Inc.",dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
FAST,Fastenal,NASDAQ-100,ndx_only,True,False,0000815556,FASTENAL CO,200,,FASTENAL CO,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
FER,Ferrovial,NASDAQ-100,ndx_only,True,False,0001468522,Ferrovial N.V.,200,,Ferrovial SE,dei;ifrs-full,True,True,True,False,ifrs-full:Assets,ifrs-full:Equity,dei:EntityCommonStockSharesOutstanding,
FTNT,Fortinet,NASDAQ-100,ndx_only,True,False,0001262039,"Fortinet, Inc.",200,,"FORTINET, INC.",dei;ecd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
GEHC,GE HealthCare,NASDAQ-100,ndx_only,True,False,0001932393,GE HealthCare Technologies Inc.,200,,GE HEALTHCARE TECHNOLOGIES INC.,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
GILD,Gilead Sciences,NASDAQ-100,ndx_only,True,False,0000882095,"GILEAD SCIENCES, INC.",200,,"GILEAD SCIENCES, INC.",dei;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
GOOG,Alphabet Inc. (Class C),NASDAQ-100,ndx_only,True,False,0001652044,Alphabet Inc.,200,,ALPHABET INC.,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
GOOGL,Alphabet Inc. (Class A),NASDAQ-100,ndx_only,True,False,0001652044,Alphabet Inc.,200,,ALPHABET INC.,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
HON,Honeywell Technologies,NASDAQ-100,ndx_only,True,False,0000773840,HONEYWELL INTERNATIONAL INC,200,,Honeywell International Inc,dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
IDXX,Idexx Laboratories,NASDAQ-100,ndx_only,True,False,0000874716,IDEXX LABORATORIES INC /DE,200,,IDEXX LABORATORIES INC /DE,dei;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
INTC,Intel,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000050863,INTEL CORP,200,,INTEL CORP,dei;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
INTU,Intuit,NASDAQ-100,ndx_only,True,False,0000896878,INTUIT INC.,200,,INTUIT INC.,dei;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ISRG,Intuitive Surgical,NASDAQ-100,ndx_only,True,False,0001035267,INTUITIVE SURGICAL INC,200,,"Intuitive Surgical, Inc.",dei;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
KDP,Keurig Dr Pepper,NASDAQ-100,ndx_only,True,False,0001418135,Keurig Dr Pepper Inc.,200,,Keurig Dr Pepper Inc.,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
KHC,Kraft Heinz,NASDAQ-100,ndx_only,True,False,0001637459,Kraft Heinz Co,200,,Kraft Heinz Co,dei;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
KLAC,KLA Corporation,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000319201,KLA CORP,200,,KLA CORPORATION,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
LIN,Linde plc,NASDAQ-100,ndx_only,True,False,0001707925,LINDE PLC,200,,LINDE PLC,dei;ecd;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
LITE,Lumentum,NASDAQ-100,ndx_only,True,False,0001633978,Lumentum Holdings Inc.,200,,Lumentum Holdings Inc.,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
LRCX,Lam Research,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000707549,LAM RESEARCH CORP,200,,LAM RESEARCH CORPORATION,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MAR,Marriott International,NASDAQ-100,ndx_only,True,False,0001048286,MARRIOTT INTERNATIONAL INC /MD/,200,,MARRIOTT INTERNATIONAL INC /MD/,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MCHP,Microchip Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000827054,MICROCHIP TECHNOLOGY INC,200,,MICROCHIP TECHNOLOGY INCORPORATED,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MDLZ,Mondelez International,NASDAQ-100,ndx_only,True,False,0001103982,"Mondelez International, Inc.",200,,"Mondelez International, Inc.",dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MELI,Mercado Libre,NASDAQ-100,ndx_only,True,False,0001099590,MERCADOLIBRE INC,200,,"MercadoLibre, Inc.",dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
META,Meta Platforms,NASDAQ-100,ndx_only,True,False,0001326801,"Meta Platforms, Inc.",200,,"Meta Platforms, Inc.",dei;ecd;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,
MNST,Monster Beverage,NASDAQ-100,ndx_only,True,False,0000865752,Monster Beverage Corp,200,,Monster Beverage Corp,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MPWR,Monolithic Power Systems,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001280452,MONOLITHIC POWER SYSTEMS INC,200,,MONOLITHIC POWER SYSTEMS INC,dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MRVL,Marvell Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001835632,"Marvell Technology, Inc.",200,,"MARVELL TECHNOLOGY, INC",dei;ecd;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MSFT,Microsoft,NASDAQ-100,ndx_only,True,False,0000789019,MICROSOFT CORP,200,,MICROSOFT CORPORATION,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MSTR,MicroStrategy,NASDAQ-100,ndx_only,True,False,0001050446,Strategy Inc,200,,STRATEGY INC,dei;ecd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,
MTSI,"MACOM Technology Solutions Holdings, Inc.",SOX (via SOXX ETF holdings),sox_only,False,True,0001493594,"MACOM Technology Solutions Holdings, Inc.",200,,"MACOM Technology Solutions Holdings, Inc.",dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
MU,Micron Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000723125,MICRON TECHNOLOGY INC,200,,"Micron Technology, Inc.",dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
NBIS,Nebius Group,NASDAQ-100,ndx_only,True,False,0001513845,Nebius Group N.V.,200,,NEBIUS GROUP N.V.,us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
NFLX,"Netflix, Inc.",NASDAQ-100,ndx_only,True,False,0001065280,NETFLIX INC,200,,"Netflix, Inc.",dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
NVDA,Nvidia,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001045810,NVIDIA CORP,200,,NVIDIA CORP,dei;ecd;ffd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
NXPI,NXP Semiconductors,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001413447,NXP Semiconductors N.V.,200,,NXP Semiconductors N.V.,dei;ecd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ODFL,Old Dominion Freight Line,NASDAQ-100,ndx_only,True,False,0000878927,"OLD DOMINION FREIGHT LINE, INC.",200,,"OLD DOMINION FREIGHT LINE, INC.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ON,ON Semiconductor Corporation,SOX (via SOXX ETF holdings),sox_only,False,True,0001097864,ON SEMICONDUCTOR CORP,200,,ON Semiconductor Corporation,dei;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ORLY,O'Reilly Automotive,NASDAQ-100,ndx_only,True,False,0000898173,O REILLY AUTOMOTIVE INC,200,,O Reilly Automotive Inc,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
PANW,Palo Alto Networks,NASDAQ-100,ndx_only,True,False,0001327567,Palo Alto Networks Inc,200,,"PALO ALTO NETWORKS, INC",dei;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
PAYX,Paychex,NASDAQ-100,ndx_only,True,False,0000723531,PAYCHEX INC,200,,"Paychex, Inc.",dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
PCAR,Paccar,NASDAQ-100,ndx_only,True,False,0000075362,PACCAR INC,200,,PACCAR Inc,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
PDD,PDD Holdings,NASDAQ-100,ndx_only,True,False,0001737806,PDD Holdings Inc.,200,,PDD Holdings Inc.,us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
PEP,PepsiCo,NASDAQ-100,ndx_only,True,False,0000077476,PEPSICO INC,200,,"PepsiCo, Inc.",dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
PLTR,Palantir Technologies,NASDAQ-100,ndx_only,True,False,0001321655,Palantir Technologies Inc.,200,,Palantir Technologies Inc.,dei;ecd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
PYPL,PayPal,NASDAQ-100,ndx_only,True,False,0001633917,"PayPal Holdings, Inc.",200,,"PayPal Holdings, Inc.",dei;ecd;ffd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
QCOM,Qualcomm,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000804328,QUALCOMM INC/DE,200,,QUALCOMM INC/DE,dei;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
REGN,Regeneron Pharmaceuticals,NASDAQ-100,ndx_only,True,False,0000872589,"REGENERON PHARMACEUTICALS, INC.",200,,"REGENERON PHARMACEUTICALS, INC.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
RKLB,Rocket Lab,NASDAQ-100,ndx_only,True,False,0001819994,Rocket Lab Corp,200,,Rocket Lab Corp,dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ROP,Roper Technologies,NASDAQ-100,ndx_only,True,False,0000882835,ROPER TECHNOLOGIES INC,200,,ROPER TECHNOLOGIES INC,dei;ecd;ffd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ROST,Ross Stores,NASDAQ-100,ndx_only,True,False,0000745732,"ROSS STORES, INC.",200,,"Ross Stores, Inc.",dei;ecd;ffd;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
SBUX,Starbucks,NASDAQ-100,ndx_only,True,False,0000829224,STARBUCKS CORP,200,,Starbucks Corporation,dei;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
SHOP,Shopify,NASDAQ-100,ndx_only,True,False,0001594805,SHOPIFY INC.,200,,Shopify Inc.,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:CommonStockSharesOutstanding,
SNDK,Sandisk,NASDAQ-100,ndx_only,True,False,0002023554,Sandisk Corp,200,,Sandisk Corporation,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
SNPS,Synopsys,NASDAQ-100,ndx_only,True,False,0000883241,SYNOPSYS INC,200,,SYNOPSYS INC,dei;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
STX,Seagate Technology,NASDAQ-100,ndx_only,True,False,0001137789,Seagate Technology Holdings plc,200,,Seagate Technology Holdings plc,dei;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
TER,Teradyne,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000097210,"TERADYNE, INC",200,,"TERADYNE, INC.",dei;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
TMUS,T-Mobile US,NASDAQ-100,ndx_only,True,False,0001283699,"T-Mobile US, Inc.",200,,"T-Mobile US, Inc.",dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
TRI,Thomson Reuters,NASDAQ-100,ndx_only,True,False,0001075124,THOMSON REUTERS CORP /CAN/,200,,THOMSON REUTERS CORPORATION,dei;ifrs-full,True,True,True,False,ifrs-full:Assets,ifrs-full:Equity,dei:EntityCommonStockSharesOutstanding,
TSLA,"Tesla, Inc.",NASDAQ-100,ndx_only,True,False,0001318605,"Tesla, Inc.",200,,"Tesla, Inc.",dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
TSM,Taiwan Semiconductor Manufacturing Company Limited,SOX (via SOXX ETF holdings),sox_only,False,True,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,200,,Taiwan Semiconductor Manufacturing Company Limited,dei;ifrs-full;srt,True,True,True,False,ifrs-full:Assets,ifrs-full:Equity,dei:EntityCommonStockSharesOutstanding,
