ticker,company,gics_sector,source_index,index_tag,decision,reason,is_main_nasdaq100,is_sox_robustness,download_symbol
KHC,Kraft Heinz,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,KHC
KLAC,KLA Corporation,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,KLAC
LIN,Linde plc,Basic Materials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,LIN
LITE,Lumentum,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,LITE
LRCX,Lam Research,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,LRCX
MAR,Marriott International,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MAR
MCHP,Microchip Technology,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,MCHP
MDLZ,Mondelez International,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MDLZ
MELI,Mercado Libre,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MELI
META,Meta Platforms,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,META
MNST,Monster Beverage,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MNST
MPWR,Monolithic Power Systems,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,MPWR
MRVL,Marvell Technology,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,MRVL
MSFT,Microsoft,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MSFT
MSTR,MicroStrategy,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,MSTR
MU,Micron Technology,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,MU
NBIS,Nebius Group,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,NBIS
NFLX,"Netflix, Inc.",Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,NFLX
NVDA,Nvidia,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,NVDA
NXPI,NXP Semiconductors,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,NXPI
ODFL,Old Dominion Freight Line,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ODFL
ORLY,O'Reilly Automotive,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ORLY
PANW,Palo Alto Networks,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PANW
PAYX,Paychex,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PAYX
PCAR,Paccar,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PCAR
PDD,PDD Holdings,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PDD
PEP,PepsiCo,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PEP
PLTR,Palantir Technologies,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PLTR
PYPL,PayPal,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,PYPL
QCOM,Qualcomm,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,QCOM
REGN,Regeneron Pharmaceuticals,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,REGN
RKLB,Rocket Lab,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,RKLB
ROP,Roper Technologies,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ROP
ROST,Ross Stores,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ROST
SBUX,Starbucks,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,SBUX
SHOP,Shopify,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,SHOP
SNDK,Sandisk,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,SNDK
SNPS,Synopsys,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,SNPS
STX,Seagate Technology,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,STX
TER,Teradyne,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,TER
TMUS,T-Mobile US,Telecommunications,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,TMUS
TRI,Thomson Reuters,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,TRI
TSLA,"Tesla, Inc.",Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,TSLA
TTWO,Take-Two Interactive,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,TTWO
TXN,Texas Instruments,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,TXN
VRTX,Vertex Pharmaceuticals,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,VRTX
WBD,Warner Bros. Discovery,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,WBD
WDAY,"Workday, Inc.",Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,WDAY
WDC,Western Digital,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,WDC
WMT,Walmart,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,WMT
XEL,Xcel Energy,Utilities,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,XEL
